Timestamp,X,Y,Z
5029115,0.017700,-0.024170,1.011230
5030117,0.017334,-0.024170,1.011230
5031120,0.016235,-0.025513,1.011841
5032122,0.017456,-0.024536,1.010864
5033125,0.017334,-0.023560,1.010254
5034127,0.017090,-0.024536,1.011108
5035130,0.017334,-0.024780,1.011841
5036132,0.018188,-0.023804,1.011108
5037135,0.017456,-0.024780,1.012085
5038137,0.017700,-0.024048,1.011719
5039139,0.018066,-0.024292,1.011597
5040142,0.017700,-0.024292,1.011108
5041144,0.017578,-0.024170,1.010986
5042147,0.017944,-0.024170,1.011597
5043149,0.016357,-0.024170,1.011230
5044152,0.017334,-0.023437,1.011475
5045154,0.017944,-0.023071,1.011841
5046157,0.017700,-0.024658,1.010986
5047159,0.017212,-0.024048,1.011230
5048161,0.017334,-0.024414,1.013062
5049164,0.018066,-0.025024,1.011597
5050166,0.018311,-0.024536,1.011963
5051169,0.017212,-0.024414,1.011475
5052171,0.017456,-0.024048,1.011719
5053174,0.016846,-0.023804,1.011719
5054176,0.018066,-0.023926,1.011475
5055179,0.017944,-0.024170,1.011230
5056181,0.018066,-0.024780,1.011963
5057184,0.016968,-0.023437,1.012573
5058186,0.017578,-0.024658,1.011841
5059189,0.016846,-0.024292,1.012329
5060191,0.016235,-0.023804,1.011475
5061193,0.017212,-0.023926,1.010986
5062196,0.017212,-0.023804,1.010742
5063198,0.017090,-0.023437,1.011719
5064201,0.017700,-0.023682,1.011719
5065203,0.016968,-0.024048,1.011475
5066206,0.019287,-0.023804,1.011475
5067208,0.018311,-0.022705,1.012817
5068211,0.017334,-0.024536,1.011353
5069213,0.017700,-0.024048,1.011841
5070216,0.017578,-0.023071,1.011475
5071218,0.017090,-0.023560,1.011597
5072220,0.018066,-0.023560,1.011719
5073223,0.018311,-0.022949,1.011597
5074226,0.017944,-0.022827,1.012329
5075228,0.017090,-0.023682,1.011963
5076230,0.017456,-0.023926,1.011963
5077233,0.017456,-0.024170,1.011719
5078235,0.016846,-0.024902,1.011353
5079238,0.018066,-0.023193,1.011353
5080240,0.017822,-0.023560,1.012207
5081243,0.018921,-0.023804,1.011230
5082245,0.018188,-0.024902,1.010864
5083248,0.017578,-0.023682,1.011230
5084250,0.017700,-0.024414,1.011108
5085253,0.018188,-0.023682,1.011108
5086255,0.018066,-0.023926,1.010254
5087257,0.017456,-0.024414,1.010376
5088260,0.017700,-0.023437,1.011353
5089262,0.016602,-0.024048,1.010864
5090265,0.016968,-0.024048,1.010010
5091267,0.016846,-0.022583,1.010498
5092270,0.017944,-0.023071,1.011108
5093272,0.017456,-0.023437,1.012207
5094275,0.017822,-0.024048,1.011353
5095277,0.017212,-0.024414,1.010864
5096280,0.017700,-0.024048,1.011719
5097282,0.016846,-0.023682,1.011719
5098284,0.017212,-0.023926,1.012207
5099287,0.017334,-0.024414,1.011475
5100289,0.018066,-0.024048,1.011597
5101292,0.017700,-0.024902,1.010620
5102294,0.017456,-0.025146,1.011230
5103297,0.017578,-0.024170,1.011719
5104299,0.017822,-0.024170,1.011353
5105302,0.017212,-0.023315,1.010986
5106304,0.017822,-0.023682,1.012085
5107307,0.017944,-0.023560,1.012451
5108309,0.017212,-0.024048,1.011719
5109311,0.017822,-0.024048,1.011108
5110314,0.017456,-0.024536,1.011230
5111316,0.017334,-0.023071,1.010864
5112319,0.016968,-0.025146,1.011475
5113321,0.017090,-0.025513,1.010864
5114324,0.017334,-0.023804,1.010498
5115326,0.019043,-0.022583,1.010986
5116329,0.018066,-0.024658,1.011475
5117331,0.017822,-0.023926,1.010376
5118334,0.018311,-0.023926,1.011230
5119336,0.017700,-0.023437,1.011230
5120339,0.016968,-0.023926,1.011353
5121341,0.017456,-0.024536,1.011719
5122344,0.016602,-0.023804,1.011230
5123346,0.018433,-0.024658,1.010864
5124348,0.017578,-0.024658,1.010986
5125351,0.017456,-0.024170,1.011353
5126353,0.018066,-0.023682,1.010376
5127356,0.018066,-0.024536,1.010132
5128358,0.017578,-0.024780,1.010986
5129361,0.017700,-0.025391,1.010986
5130363,0.017212,-0.023682,1.012085
5131366,0.016602,-0.024902,1.011230
5132368,0.017822,-0.022949,1.012085
5133371,0.018066,-0.023315,1.011475
5134373,0.017456,-0.023437,1.011475
5135376,0.018677,-0.024780,1.011841
5136378,0.017822,-0.024780,1.010742
5137380,0.017578,-0.024048,1.011230
5138383,0.018188,-0.023437,1.011719
5139385,0.018311,-0.023437,1.009888
5140388,0.016968,-0.025879,1.012817
5141390,0.018311,-0.025024,1.011108
5142393,0.017944,-0.024170,1.010864
5143395,0.017212,-0.025391,1.012573
5144398,0.017090,-0.023560,1.011353
5145400,0.018066,-0.025024,1.010864
5146403,0.017456,-0.023560,1.011353
5147405,0.017212,-0.025513,1.011963
5148407,0.018555,-0.023682,1.010986
5149410,0.017578,-0.024292,1.011719
5150412,0.017212,-0.022095,1.011353
5151415,0.017578,-0.022217,1.011230
5152417,0.017578,-0.022583,1.012207
5153420,0.018311,-0.022827,1.012207
5154422,0.016846,-0.025513,1.011475
5155425,0.017212,-0.024414,1.012085
5156427,0.017578,-0.021729,1.012207
5157430,0.017822,-0.014648,1.012451
5158432,0.017334,-0.024414,1.012695
5159435,0.017578,-0.025635,1.011841
5160437,0.017090,-0.023315,1.010742
5161440,0.017944,-0.025146,1.011230
5162442,0.018066,-0.023804,1.011963
5163444,0.017456,-0.024414,1.011230
5164447,0.018188,-0.024048,1.011841
5165449,0.018188,-0.023193,1.011353
5166452,0.017700,-0.024292,1.010986
5167454,0.017578,-0.022949,1.011353
5168457,0.018066,-0.024414,1.010742
5169459,0.017334,-0.022583,1.011597
5170462,0.018433,-0.026123,1.011597
5171464,0.016846,-0.023315,1.011597
5172467,0.017456,-0.023804,1.011230
5173469,0.018555,-0.024170,1.011719
5174471,0.017578,-0.023315,1.011108
5175474,0.017090,-0.024536,1.011719
5176476,0.017212,-0.024780,1.012085
5177479,0.017578,-0.023926,1.012573
5178481,0.016968,-0.024170,1.010986
5179484,0.017578,-0.024658,1.011475
5180486,0.017212,-0.024048,1.012085
5181489,0.017822,-0.024414,1.011841
5182491,0.017578,-0.024658,1.011841
5183494,0.017700,-0.024048,1.011719
5184496,0.016968,-0.024658,1.011475
5185499,0.016968,-0.024170,1.011353
5186501,0.017456,-0.023682,1.010986
5187503,0.017334,-0.023682,1.011963
5188506,0.017700,-0.022827,1.011719
5189508,0.018188,-0.024170,1.010864
5190511,0.017944,-0.023437,1.012085
5191513,0.016846,-0.023315,1.012207
5192516,0.018311,-0.022949,1.010986
5193518,0.017578,-0.023804,1.011230
